"Phase","FullName","Name","Extension","LengthBytes","LengthMiB","LastWriteTime","IsPCH","IsSharedPCHName","IsSharedPCHPCH","InUnrealEditorScope"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\AutoRTFMTestsWithExceptionsGPF\Development\Core\SharedPCH.Core.Cpp20.cpp","SharedPCH.Core.Cpp20.cpp",".cpp","60","0","2026-07-04T10:51:26.6875564+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\AutoRTFMTestsWithExceptionsGPF\Development\Core\SharedPCH.Core.Cpp20.h","SharedPCH.Core.Cpp20.h",".h","266","0","2026-07-04T10:51:26.6865539+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\AutoRTFMTestsWithMergeModulesGPF\Development\Core\SharedPCH.Core.Cpp20.cpp","SharedPCH.Core.Cpp20.cpp",".cpp","60","0","2026-07-04T10:51:26.6379325+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\AutoRTFMTestsWithMergeModulesGPF\Development\Core\SharedPCH.Core.Cpp20.h","SharedPCH.Core.Cpp20.h",".h","266","0","2026-07-04T10:51:26.6359319+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\AutoRTFMTestsWithSTATSGPF\Development\Core\SharedPCH.Core.Cpp20.cpp","SharedPCH.Core.Cpp20.cpp",".cpp","60","0","2026-07-04T10:51:26.6835541+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\AutoRTFMTestsWithSTATSGPF\Development\Core\SharedPCH.Core.Cpp20.h","SharedPCH.Core.Cpp20.h",".h","266","0","2026-07-04T10:51:26.6825547+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BaseTextureBuildWorkerGPF\Development\Core\SharedPCH.Core.Cpp20.cpp","SharedPCH.Core.Cpp20.cpp",".cpp","60","0","2026-07-04T10:51:26.6369325+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BaseTextureBuildWorkerGPF\Development\Core\SharedPCH.Core.Cpp20.h","SharedPCH.Core.Cpp20.h",".h","266","0","2026-07-04T10:51:26.6369325+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BaseTextureBuildWorkerGPF\Development\Core\SharedPCH.Core.Exceptions.Cpp20.cpp","SharedPCH.Core.Exceptions.Cpp20.cpp",".cpp","71","0","2026-07-04T10:51:26.6394385+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BaseTextureBuildWorkerGPF\Development\Core\SharedPCH.Core.Exceptions.Cpp20.h","SharedPCH.Core.Exceptions.Cpp20.h",".h","277","0","2026-07-04T10:51:26.6379325+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BaseTextureBuildWorkerGPF\Development\Core\SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.cpp","SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.cpp",".cpp","85","0","2026-07-04T10:51:26.6404441+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BaseTextureBuildWorkerGPF\Development\Core\SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.h","SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.h",".h","291","0","2026-07-04T10:51:26.6394385+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BaseTextureBuildWorkerGPF\Development\CoreUObject\SharedPCH.CoreUObject.Cpp20.cpp","SharedPCH.CoreUObject.Cpp20.cpp",".cpp","67","0","2026-07-04T10:51:26.6459546+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BaseTextureBuildWorkerGPF\Development\CoreUObject\SharedPCH.CoreUObject.Cpp20.h","SharedPCH.CoreUObject.Cpp20.h",".h","287","0","2026-07-04T10:51:26.6444489+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BenchmarkToolGPF\Development\Core\SharedPCH.Core.Cpp20.cpp","SharedPCH.Core.Cpp20.cpp",".cpp","60","0","2026-07-04T10:51:27.3871148+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BenchmarkToolGPF\Development\Core\SharedPCH.Core.Cpp20.h","SharedPCH.Core.Cpp20.h",".h","266","0","2026-07-04T10:51:27.3861156+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BenchmarkToolGPF\Development\Core\SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.cpp","SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.cpp",".cpp","85","0","2026-07-04T10:51:27.3896252+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BenchmarkToolGPF\Development\Core\SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.h","SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.h",".h","291","0","2026-07-04T10:51:27.3891201+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BlankProgramGPF\Development\Core\SharedPCH.Core.Cpp20.cpp","SharedPCH.Core.Cpp20.cpp",".cpp","60","0","2026-07-04T10:51:27.3594334+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BlankProgramGPF\Development\Core\SharedPCH.Core.Cpp20.h","SharedPCH.Core.Cpp20.h",".h","266","0","2026-07-04T10:51:27.3594334+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BlankProgramGPF\Development\Core\SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.cpp","SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.cpp",".cpp","85","0","2026-07-04T10:51:27.3619465+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BlankProgramGPF\Development\Core\SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.h","SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.h",".h","291","0","2026-07-04T10:51:27.3609405+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BuildPatchToolGPF\Development\Core\SharedPCH.Core.Cpp20.cpp","SharedPCH.Core.Cpp20.cpp",".cpp","60","0","2026-07-04T10:51:27.3981616+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BuildPatchToolGPF\Development\Core\SharedPCH.Core.Cpp20.h","SharedPCH.Core.Cpp20.h",".h","266","0","2026-07-04T10:51:27.3971554+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BuildPatchToolGPF\Development\Core\SharedPCH.Core.Exceptions.Cpp20.cpp","SharedPCH.Core.Exceptions.Cpp20.cpp",".cpp","71","0","2026-07-04T10:51:27.4001621+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BuildPatchToolGPF\Development\Core\SharedPCH.Core.Exceptions.Cpp20.h","SharedPCH.Core.Exceptions.Cpp20.h",".h","277","0","2026-07-04T10:51:27.3991609+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BuildPatchToolGPF\Development\CoreUObject\SharedPCH.CoreUObject.Cpp20.cpp","SharedPCH.CoreUObject.Cpp20.cpp",".cpp","67","0","2026-07-04T10:51:27.4036796+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BuildPatchToolGPF\Development\CoreUObject\SharedPCH.CoreUObject.Cpp20.h","SharedPCH.CoreUObject.Cpp20.h",".h","287","0","2026-07-04T10:51:27.4026705+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BuildPatchToolGPF\Development\CoreUObject\SharedPCH.CoreUObject.Project.ValApi.ValExpApi.Cpp20.cpp","SharedPCH.CoreUObject.Project.ValApi.ValExpApi.Cpp20.cpp",".cpp","92","0","2026-07-04T10:51:27.4056908+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BuildPatchToolGPF\Development\CoreUObject\SharedPCH.CoreUObject.Project.ValApi.ValExpApi.Cpp20.h","SharedPCH.CoreUObject.Project.ValApi.ValExpApi.Cpp20.h",".h","312","0","2026-07-04T10:51:27.4046840+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BuildPatchToolGPF\Development\Slate\SharedPCH.Slate.Cpp20.cpp","SharedPCH.Slate.Cpp20.cpp",".cpp","61","0","2026-07-04T10:51:27.4086909+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\BuildPatchToolGPF\Development\Slate\SharedPCH.Slate.Cpp20.h","SharedPCH.Slate.Cpp20.h",".h","269","0","2026-07-04T10:51:27.4076904+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\ChaosUserDataPTTestsGPF\Development\Core\SharedPCH.Core.Cpp20.cpp","SharedPCH.Core.Cpp20.cpp",".cpp","60","0","2026-07-04T10:51:30.3599537+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\ChaosUserDataPTTestsGPF\Development\Core\SharedPCH.Core.Cpp20.h","SharedPCH.Core.Cpp20.h",".h","266","0","2026-07-04T10:51:30.3589557+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\ChaosUserDataPTTestsGPF\Development\CoreUObject\SharedPCH.CoreUObject.Cpp20.cpp","SharedPCH.CoreUObject.Cpp20.cpp",".cpp","67","0","2026-07-04T10:51:30.3614602+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\ChaosUserDataPTTestsGPF\Development\CoreUObject\SharedPCH.CoreUObject.Cpp20.h","SharedPCH.CoreUObject.Cpp20.h",".h","287","0","2026-07-04T10:51:30.3609539+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\ChaosUserDataPTTestsGPF\Development\Engine\SharedPCH.Engine.Cpp20.cpp","SharedPCH.Engine.Cpp20.cpp",".cpp","62","0","2026-07-04T10:51:30.3654777+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\ChaosUserDataPTTestsGPF\Development\Engine\SharedPCH.Engine.Cpp20.h","SharedPCH.Engine.Cpp20.h",".h","272","0","2026-07-04T10:51:30.3634713+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\ChaosUserDataPTTestsGPF\Development\Slate\SharedPCH.Slate.Cpp20.cpp","SharedPCH.Slate.Cpp20.cpp",".cpp","61","0","2026-07-04T10:51:30.3624655+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\ChaosUserDataPTTestsGPF\Development\Slate\SharedPCH.Slate.Cpp20.h","SharedPCH.Slate.Cpp20.h",".h","269","0","2026-07-04T10:51:30.3614602+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\CmdLinkGPF\Development\Core\SharedPCH.Core.Cpp20.cpp","SharedPCH.Core.Cpp20.cpp",".cpp","60","0","2026-07-04T10:51:27.3244350+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\CmdLinkGPF\Development\Core\SharedPCH.Core.Cpp20.h","SharedPCH.Core.Cpp20.h",".h","266","0","2026-07-04T10:51:27.3244350+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\CmdLinkGPF\Development\Core\SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.InclOrderUnreal5_4.cpp","SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.InclOrderUnreal5_4.cpp",".cpp","104","0","2026-07-04T10:51:27.3254369+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\CmdLinkGPF\Development\Core\SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.InclOrderUnreal5_4.h","SharedPCH.Core.Project.ValApi.ValExpApi.Cpp20.InclOrderUnreal5_4.h",".h","310","0","2026-07-04T10:51:27.3254369+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\CrashReportClientEditorGPF\Development\Core\SharedPCH.Core.Cpp20.cpp","SharedPCH.Core.Cpp20.cpp",".cpp","60","0","2026-07-04T10:51:27.3961490+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\CrashReportClientEditorGPF\Development\Core\SharedPCH.Core.Cpp20.h","SharedPCH.Core.Cpp20.h",".h","266","0","2026-07-04T10:51:27.3946450+08:00","False","True","False","False"
"After","D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\CrashReportClientEditorGPF\Development\Core\SharedPCH.Core.Exceptions.Cpp20.cpp","SharedPCH.Core.Exceptions.Cpp20.cpp",".cpp","71","0","2026-07-04T10:51:27.3981616+08:00","False","True","False","False"
