BarCaption,Remote40Count,Local39Count,Remote40AvgSec,Local39AvgSec,DeltaSec,RatioRemote40OverLocal39,Remote40MaxSec,Local39MaxSec,Remote40MachineSample,Local39MachineSample
Module.DetailCustomizations.3.cpp,1,1,795.362,182.098,613.264,4.368,795.362,182.098,GIH-D-31320,GIH-D-33028
Module.UnrealEd.22.cpp,1,1,548.455,69.189,479.266,7.927,548.455,69.189,GIH-D-32790,GIH-D-33028
Module.HairStrandsCore.3.cpp,1,1,574.789,97.262,477.527,5.91,574.789,97.262,GIH-D-31320,GIH-D-33028
Module.CADLibrary.cpp,1,1,496.33,23.474,472.856,21.144,496.33,23.474,GIH-D-30761,GIH-D-33028
Module.NDCModFeaturesEd.cpp,1,1,470.49,7.35,463.14,64.012,470.49,7.35,GIH-D-32866,GIH-D-33028
Module.RivermaxMedia.cpp,1,1,484.494,44.856,439.638,10.801,484.494,44.856,GIH-D-32866,GIH-D-33028
Module.LevelSnapshots.1.cpp,1,1,480.216,52.931,427.285,9.072,480.216,52.931,GIH-D-32866,GIH-D-33028
Module.MuCOE.2.cpp,1,1,482.028,57.443,424.585,8.391,482.028,57.443,APO-D-00018,GIH-D-33028
Module.GameplayBehaviorsModule.cpp,1,1,473.34,50.108,423.232,9.446,473.34,50.108,GIH-D-X1227,GIH-D-33028
Module.UnrealEd.13.cpp,1,1,410.608,5.747,404.861,71.447,410.608,5.747,GIH-D-32459,GIH-D-33028
Module.DetailCustomizations.4.cpp,1,1,617.603,214.646,402.957,2.877,617.603,214.646,GIH-D-32354,GIH-D-33028
Module.Engine.26.cpp,1,1,419.162,35.786,383.376,11.713,419.162,35.786,GIH-D-33053,GIH-D-33028
Module.UnrealEd.24.cpp,1,1,439.767,56.57,383.197,7.774,439.767,56.57,gih-d-x5331,GIH-D-33028
Module.Engine.35.cpp,1,1,417.633,45.493,372.14,9.18,417.633,45.493,gih-d-26986,GIH-D-33028
Module.GeometryAlgorithms.2.cpp,1,1,420.194,53.272,366.922,7.888,420.194,53.272,GIH-D-30908,GIH-D-33028
Module.Engine.36.cpp,1,1,428.329,61.633,366.696,6.95,428.329,61.633,gih-d-26986,GIH-D-33028
Module.Engine.51.cpp,1,1,392.205,25.813,366.392,15.194,392.205,25.813,GIH-D-24991,GIH-D-33028
