"RelativeMs","Timestamp","SentDeltaBytes","ReceivedDeltaBytes","TotalDeltaBytes"
"237","2026-07-06T14:32:05.0818446+08:00","77017","5008137","5085154"
"460","2026-07-06T14:32:05.3048961+08:00","217041","13531894","13748935"
"687","2026-07-06T14:32:05.5319418+08:00","263549","15815409","16078958"
"905","2026-07-06T14:32:05.7499867+08:00","321523","19357140","19678663"
"1124","2026-07-06T14:32:05.9685375+08:00","337304","19361062","19698366"
"1344","2026-07-06T14:32:06.1889088+08:00","351133","19367806","19718939"
"1566","2026-07-06T14:32:06.4110435+08:00","365805","19372009","19737814"
"1784","2026-07-06T14:32:06.6290846+08:00","380416","19376082","19756498"
"2011","2026-07-06T14:32:06.8561302+08:00","393351","19382355","19775706"
"2244","2026-07-06T14:32:07.0882181+08:00","408294","19385864","19794158"
"2466","2026-07-06T14:32:07.3101897+08:00","499972","19391211","19891183"
"2687","2026-07-06T14:32:07.5312329+08:00","624013","19394743","20018756"
"2911","2026-07-06T14:32:07.7556738+08:00","7981352","19484852","27466204"
"3136","2026-07-06T14:32:07.9807830+08:00","22646672","19612034","42258706"
"3350","2026-07-06T14:32:08.1944632+08:00","36905022","19734083","56639105"
"3571","2026-07-06T14:32:08.4155022+08:00","52328654","19886732","72215386"
"3793","2026-07-06T14:32:08.6378224+08:00","66919691","20000456","86920147"
"4015","2026-07-06T14:32:08.8593708+08:00","83064203","20125232","103189435"
"4242","2026-07-06T14:32:09.0869371+08:00","98851653","20253498","119105151"
"4457","2026-07-06T14:32:09.3018154+08:00","114776038","20383640","135159678"
"4679","2026-07-06T14:32:09.5238508+08:00","131269010","20519583","151788593"
"4898","2026-07-06T14:32:09.7428847+08:00","147409215","20644348","168053563"
"5116","2026-07-06T14:32:09.9604352+08:00","162735044","20766117","183501161"
"5345","2026-07-06T14:32:10.1895968+08:00","178119333","20886965","199006298"
"5560","2026-07-06T14:32:10.4046348+08:00","192984887","21008883","213993770"
"5782","2026-07-06T14:32:10.6269943+08:00","209777188","21146048","230923236"
"6003","2026-07-06T14:32:10.8476313+08:00","225635661","21274798","246910459"
"6225","2026-07-06T14:32:11.0692027+08:00","242074550","21409610","263484160"
"6453","2026-07-06T14:32:11.2978026+08:00","256751396","21533462","278284858"
"6680","2026-07-06T14:32:11.5244827+08:00","272716687","21662692","294379379"
"6900","2026-07-06T14:32:11.7441816+08:00","285084275","21763012","306847287"
"7120","2026-07-06T14:32:11.9648489+08:00","300479103","21887788","322366891"
"7342","2026-07-06T14:32:12.1862720+08:00","316795775","22021103","338816878"
"7572","2026-07-06T14:32:12.4165588+08:00","332707638","22154674","354862312"
"7798","2026-07-06T14:32:12.6423642+08:00","350813917","22305756","373119673"
"8017","2026-07-06T14:32:12.8619315+08:00","368454849","22452220","390907069"
"8238","2026-07-06T14:32:13.0824987+08:00","383648011","22579123","406227134"
"8467","2026-07-06T14:32:13.3113293+08:00","396393123","22683219","419076342"
"8699","2026-07-06T14:32:13.5433839+08:00","408776680","22784479","431561159"
"8913","2026-07-06T14:32:13.7574392+08:00","424597841","22914058","447511899"
"9134","2026-07-06T14:32:13.9786120+08:00","441408213","23054243","464462456"
"9355","2026-07-06T14:32:14.1991807+08:00","457819181","23191887","481011068"
"9576","2026-07-06T14:32:14.4202442+08:00","473636457","23331195","496967652"
"9800","2026-07-06T14:32:14.6443399+08:00","489781601","23479479","513261080"
"10016","2026-07-06T14:32:14.8603974+08:00","505661552","23610415","529271967"
"10236","2026-07-06T14:32:15.0804741+08:00","521102405","23740847","544843252"
"10456","2026-07-06T14:32:15.3011258+08:00","535419604","23858050","559277654"
"10673","2026-07-06T14:32:15.5172014+08:00","549415515","23976246","573391761"
"10899","2026-07-06T14:32:15.7432504+08:00","563695023","24093518","587788541"
"11120","2026-07-06T14:32:15.9648217+08:00","579650140","24224919","603875059"
"11333","2026-07-06T14:32:16.1774980+08:00","595432781","24358647","619791428"
"11556","2026-07-06T14:32:16.4002386+08:00","611448603","24490297","635938900"
"11773","2026-07-06T14:32:16.6172928+08:00","627860625","24624653","652485278"
"11994","2026-07-06T14:32:16.8383525+08:00","643371710","24752849","668124559"
"12214","2026-07-06T14:32:17.0584085+08:00","659868284","24890353","684758637"
"12435","2026-07-06T14:32:17.2794195+08:00","675953432","25027917","700981349"
"12662","2026-07-06T14:32:17.5068887+08:00","692143423","25162397","717305820"
"12877","2026-07-06T14:32:17.7219444+08:00","708356470","25296598","733653068"
"13101","2026-07-06T14:32:17.9459989+08:00","725265568","25435324","750700892"
"13316","2026-07-06T14:32:18.1610643+08:00","741719327","25572278","767291605"
